pmid	triple_id	subject_name	subject_type	predicate	object_name	object_type	evidence_span	evidence_type	confidence	notes
33399195	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
38413806	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
41693971	T1	Danggui-Baishao herb pair	Food	decreases_marker	ulcerative colitis	IBD_Outcome	The herb pair improved body weight, colon length, intestinal inflammation, and barrier function	animal	0.8	DSS-induced colitis mouse model; herb pair intervention shows improvement in colitis markers
38553410	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
33789939	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
28346392	T0	-	-	NONE	-	-	-	-	0	Empty extraction or all schema-violating
35935215	T1	Bifidobacterium bifidum BD-1	Food	decreases_marker	ulcerative colitis	IBD_Outcome	early treatment of BD-1 + Ceftri (ceftriaxone followed by BD-1) and BD-1 confers a certain protective effect against the occurrence of long-term Dextran sulfate sodium-induced colitis, which manifests as a decrease in inflammation scores and MPO activity levels	animal	0.8	DSS-induced colitis mouse model; early life intervention with probiotic strain
35935215	T2	Bifidobacterium bifidum BD-1	Food	increases_abundance_of	Bifidobacterium	Microbe	BD-1 + Ceftri can deliberately prolong the colonization time of some beneficial microbiota (e.g., Bifidobacterium)	animal	0.8	DSS colitis model; probiotic treatment increases genus abundance
35935215	T3	Bifidobacterium bifidum BD-1	Food	decreases_abundance_of	Escherichia/Shigella	Microbe	reduce the relative abundance of inflammation-related microbiota (e.g., Escherichia/Shigella and Ruminococcus)	animal	0.8	DSS colitis model; probiotic treatment decreases pathogenic taxa
39573890	T1	agarwood leaf polyphenolic extract	Food	decreases_marker	ulcerative colitis	IBD_Outcome	ALP can ameliorate DSS-induced UC by modulating gut microbiota, intestinal barrier function, and inflammatory responses	animal	0.8	DSS-induced colitis model in mice; ALP = agarwood leaf polyphenolic extract
39573890	T2	agarwood leaf polyphenolic extract	Food	increases_abundance_of	Parabacteroides	Microbe	ALP reverses the alteration of gut microbiota in the colitic mice by increasing the abundances of Parabacteroides, Chlamydia, and Lachnospiraceae	animal	0.8	DSS-induced colitis model
