annot_id	pmid	triple_id	subject_name	subject_type	predicate	object_name	object_type	evidence_span	evidence_type	your_confidence	notes
A007	32070388	T0	-	-	NONE	-	-	METHODS AND ANALYSIS: This study is a randomized clinical trial... Thirty patients with mild to moderate ulcerative colitis will be randomly allocated to receive a low FODMAP diet... The quantity of intestinal microbiota... will be explored	-	-	Off-scope: Study protocol/clinical trial design paper only. No baseline data, treatment results, or findings reported.
A021	39880230	T1	Polygonatum sibiricum polysaccharide	Food	decreases_marker	ulcerative colitis	IBD_Outcome	PSSP-EF could dramatically relieve clinical symptoms of ulcerative colitis (UC) in mice. Treatment with PSSP-EF significantly alleviated colon inflammation	animal	0.8	DSS UC mouse model; botanical polysaccharide extracted mapped as Food
A021	39880230	T2	Polygonatum sibiricum polysaccharide	Food	increases_abundance_of	Muribaculaceae	Microbe	regulated the balance of gut microbiota by increased the levels of Muribaculaeae	animal	0.8	Family Muribaculaceae mapped (spelled Muribaculaeae in text)
A021	39880230	T3	Polygonatum sibiricum polysaccharide	Food	decreases_abundance_of	Bacteroides	Microbe	while decreasing the levels of Bacteroides, Erysipelatoclostridium, and Romboutsia	animal	0.8	Genus Bacteroides mapped
A021	39880230	T4	Polygonatum sibiricum polysaccharide	Food	decreases_abundance_of	Erysipelatoclostridium	Microbe	while decreasing the levels of Bacteroides, Erysipelatoclostridium, and Romboutsia	animal	0.8	Genus Erysipelatoclostridium mapped
A021	39880230	T5	Polygonatum sibiricum polysaccharide	Food	decreases_abundance_of	Romboutsia	Microbe	while decreasing the levels of Bacteroides, Erysipelatoclostridium, and Romboutsia	animal	0.8	Genus Romboutsia mapped
A028	33430702	T1	Faecalibacterium	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Pediatric CD patients exhibited lower relative abundances of short-chain fatty acids (SCFAs)-producing bacteria including Faecalibacterium, Clostridium clusters IV and XIVb, Roseburia, and Ruminococcus	cohort	0.85	n=49 (29 CD, 20 healthy)
A028	33430702	T2	Clostridium	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Pediatric CD patients exhibited lower relative abundances of short-chain fatty acids (SCFAs)-producing bacteria including Faecalibacterium, Clostridium clusters IV and XIVb, Roseburia, and Ruminococcus	cohort	0.85	Specifically clusters IV and XIVb
A028	33430702	T3	Roseburia	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Pediatric CD patients exhibited lower relative abundances of short-chain fatty acids (SCFAs)-producing bacteria including Faecalibacterium, Clostridium clusters IV and XIVb, Roseburia, and Ruminococcus	cohort	0.85	
A028	33430702	T4	Ruminococcus	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Pediatric CD patients exhibited lower relative abundances of short-chain fatty acids (SCFAs)-producing bacteria including Faecalibacterium, Clostridium clusters IV and XIVb, Roseburia, and Ruminococcus	cohort	0.85	
A028	33430702	T5	Faecalibacterium	Microbe	produces	short chain fatty acid	Bioactive	Pediatric CD patients exhibited lower relative abundances of short-chain fatty acids (SCFAs)-producing bacteria including Faecalibacterium, Clostridium clusters IV and XIVb, Roseburia, and Ruminococcus	cohort	0.85	SCFA production explicitly defined
A028	33430702	T6	Bifidobacterium	Microbe	decreased_in	Crohn's disease	IBD_Outcome	Decreased unconjugated bile acids (BAs) pool size and a lower unconjugated/conjugated BAs ratio were associated with reduced relative abundances of Bifidobacterium and Clostridium clusters IV and XIVb	cohort	0.8	Reduction implicitly linked to the CD patient cohort baseline vs healthy
A052	28282584	T1	pomegranate beverage	Food	decreases_marker	ulcerative colitis	IBD_Outcome	PG protected against DSS-induced colon inflammation and ulceration... These results suggest that pomegranate polyphenols attenuated DSS-induced colitis	animal	0.75	DSS rat model; beverage containing pomegranate polyphenolics
A052	28282584	T2	pomegranate beverage	Food	increases_abundance_of	Ruminococcaceae	Microbe	The intestinal microbiota of rats treated with PG showed a significant increase in Ruminococcaceae	animal	0.8	DSS rat model
A096	38350464	T1	Bifidobacterium adolescentis	Microbe	decreased_in	inflammatory bowel disease	IBD_Outcome	reduced abundance of B. adolescentis as part of a dysbiotic colonic microbiota in human observational studies has been associated with inflammatory bowel diseases	cohort	0.85	Review of human observational cohort studies explicitly naming B. adolescentis dysbiosis
A096	38350464	T2	Bifidobacterium adolescentis	Microbe	produces	acetate	Bioactive	The major metabolic output is acetate and lactate	mechanistic	0.9	Explicit metabolic production mapping
A096	38350464	T3	Bifidobacterium adolescentis	Microbe	produces	lactate	Bioactive	The major metabolic output is acetate and lactate	mechanistic	0.9	Explicit metabolic production mapping
