annot_id	pmid	triple_id	subject_name	subject_type	predicate	object_name	object_type	evidence_span	evidence_type	your_confidence	notes
A001	29328869	T0	-	-	NONE	-	-	This review aimed to summarize some important aspects of IBD and evaluate the effects of this diet on this inflammatory condition	-	-	Off-scope: Broad narrative review of low FODMAP diet, no specific experimental microbiome mapping/taxa
A002	34604245	T1	tea	Food	contains	theabrownin	Bioactive	Theabrownin (TB), a core functional component of brick tea, has been reported to possess anti-obesity and lipid-lowering effects.	animal	0.8	Brick tea component
A002	34604245	T2	tea	Food	decreases_marker	ulcerative colitis	IBD_Outcome	In the present study, we found that TB treatment significantly alleviated the clinical symptoms and colonic pathological damage in DSS-induced colitis mice.	animal	0.65	Indirect: via theabrownin; DSS mouse model
A002	34604245	T3	tea	Food	increases_abundance_of	Akkermansia	Microbe	TB treatment also modulated the gut microbiota composition, especially by increasing the abundance of Akkermansia.	animal	0.7	Indirect: via theabrownin
A003	37424683	T1	Allium tenuissimum flower polysaccharide	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Overall, ATFP showed a significant mitigating effect against ulcerative colitis in mice, and it is expected to prove its value efficiently in the field of functional food.	animal	0.7	DSS mouse model; ATFP is the polysaccharide
A004	36142100	T1	rice protein	Food	decreases_marker	ulcerative colitis	IBD_Outcome	Thus, RP may be an effective therapeutic dietary resource for ulcerative colitis.	animal	0.7	DSS mouse model; Rice protein from rice dregs
A004	36142100	T2	rice protein	Food	increases_abundance_of	Akkermansia	Microbe	Also, RP treatment could... regulate gut microbiota by enhancing the relative abundance of Akkermansia	animal	0.7	Purified from rice dregs
A005	31605691	T0	-	-	NONE	-	-	Antibiotic treatment reduced disease-associated bacteria such as Clostridium perfringens, Ruminococcus gnavus, and Klebsiella pneumoniae, but also beneficial species, such as Faecalibacterium prausnitzii	-	-	Off-scope: Explicitly maps the effects of antibiotics (ciprofloxacin/metronidazole) on the microbiome; antibiotics are explicitly forbidden by schema
A006	31770631	T1	jellyfish skin polysaccharide	Food	decreases_marker	ulcerative colitis	IBD_Outcome	JSP supplementation reduced the symptoms of colitis in mice, increased colon length, protected goblet cells, and improved intestinal epithelial integrity and permeability.	animal	0.7	Rhopilema esculentum origin
A007	32070388	T0	-	-	NONE	-	-	METHODS AND ANALYSIS: This study is a randomized clinical trial... Thirty patients with mild to moderate ulcerative colitis will be randomly allocated to receive a low FODMAP diet... The quantity of intestinal microbiota... will be explored	-	-	Off-scope: Study protocol/clinical trial design paper only. No baseline data, treatment results, or findings reported.
A008	32266159	T0	-	-	NONE	-	-	Irritable bowel syndrome (IBS) is the most frequent functional gastrointestinal disorder... colonic mucosal enrichment of Bacteroides... may serve as a hallmark for IBS.	-	-	Off-scope: Evaluates Irritable Bowel Syndrome (IBS), not Inflammatory Bowel Disease (IBD).
